Team,2022 Cap Space,2022 QB Cap Hit,2022 QB Cap %,2022 WR Cap Hit,2022 WR Cap %,2022 DL Cap Hit,2022 DL Cap %,2022 Win %
Buffalo Bills,"208,021,812","16,372,281",0.079,"18,831,173",0.091,"27,750,338",0.133,0.750
Miami Dolphins,"206,480,299","8,256,938",0.040,"21,835,487",0.106,"23,867,333",0.116,0.727
New England Patriots,"208,840,938","3,542,353",0.017,"36,440,751",0.174,"23,867,333",0.114,0.500
New York Jets,"207,517,599","7,988,791",0.038,"25,580,092",0.123,"52,135,890",0.251,0.636
Balitimore Ravens,"202,748,890","23,016,000",0.114,"6,919,834",0.034,"17,465,445",0.086,0.636
Cincinnati Bengals,"209,847,878","9,870,037",0.047,"21,994,419",0.105,"48,565,180",0.231,0.636
Cleveland Browns,"183,804,295","4,650,000",0.025,"11,762,495",0.064,"27,197,559",0.148,0.364
Pittsburgh Steelers,"210,421,956","2,557,801",0.012,"15,113,356",0.072,"35,277,453",0.168,0.364
Houston Texans,"211,736,070","1,186,633",0.006,"14,952,075",0.071,"18,309,222",0.086,0.136
Indianapolis Colts,"205,362,293","18,705,882",0.091,"9,052,470",0.044,"51,885,580",0.253,0.375
Jacksonville Jaguars,"232,038,226","8,362,156",0.036,"27,928,969",0.120,"28,743,614",0.124,0.364
Tennessee Titans,"209,473,653","38,600,000",0.184,"13,344,658",0.064,"19,654,290",0.094,0.636
Denver Broncos,"207,398,340","17,000,000",0.082,"19,005,236",0.092,"14,673,683",0.071,0.273
Kansas City Ciefs,"204,513,508","35,793,381",0.175,"15,601,439",0.076,"55,708,072",0.272,0.818
Las Vegas Raiders,"198,610,820","19,375,000",0.098,"19,146,765",0.096,"35,323,480",0.178,0.364
Los Angelas Chargers,"211,176,867","7,248,751",0.034,"38,118,132",0.181,"14,853,929",0.070,0.545
Dallas Cowboys,"212,052,723","19,730,000",0.093,"12,701,905",0.060,"27,166,862",0.128,0.727
New York Giants,"202,414,025","8,365,836",0.041,"34,013,035",0.168,"25,762,305",0.127,0.636
Philadelphia Eagles,"214,924,274","1,643,230",0.008,"13,235,305",0.062,"48,886,622",0.227,0.909
Washington Commanders,"207,220,090","28,294,119",0.137,"27,222,359",0.131,"37,686,102",0.182,0.583
Chicago Bears,"202,576,465","4,289,081",0.021,"10,478,517",0.052,"17,031,089",0.084,0.250
Detroit Lions,"214,220,673","31,150,000",0.145,"14,254,749",0.067,"23,670,903",0.110,0.364
Green Bay Packers,"209,184,648","28,533,569",0.136,"13,187,789",0.063,"23,967,860",0.115,0.333
Minnesota Vikings,"208,053,718","31,416,668",0.151,"20,120,118",0.097,"18,697,041",0.090,0.818
Atlanta Falcons,"199,963,450","4,250,000",0.021,"9,170,025",0.046,"19,285,160",0.096,0.417
Carolina Panthers,"203,105,677","895,000",0.004,"13,212,404",0.065,"21,010,936",0.103,0.333
New Orleans Saints,"205,106,578","3,000,000",0.015,"26,031,036",0.127,"33,480,591",0.163,0.333
Tampa Bay Buccaneers,"203,058,249","11,896,000",0.059,"25,995,934",0.128,"17,279,361",0.085,0.455
Arizona Cardinals,"204,151,358","12,669,481",0.062,"24,036,644",0.118,"24,082,223",0.118,0.333
Los Angelas Rams,"195,577,019","13,500,000",0.069,"28,240,993",0.144,"42,957,382",0.220,0.273
San Francisco 49ers,"207,573,800","13,991,176",0.067,"14,426,414",0.070,"43,388,155",0.209,0.636
Seattle Seahawks,"216,202,499","3,500,000",0.016,"23,369,671",0.108,"32,169,907",0.149,0.545
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,256,6.638%,,9.428%,,14.385%,
,,,,,,,,
,,,,,,,,
,,,,30.451%,,,,
